,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
AD,-0.08738874627888382,0.18899314602549705,0.6279697981922392,-0.1795977789924477,-0.2152684789069382,-0.30812389546635743
DLB,-0.19623674711227285,-0.0721334163347256,-0.06614022518715154,0.21111766718131514,0.0967548546694421,-0.06823787647309235
PD,0.09906288414693995,-0.1822574913127916,-0.41657441135289747,0.2404414696560101,0.03740503761088777,0.20122872584006476
SVAD,0.18456260924421702,0.06539776162202036,-0.14525516165219055,-0.2719613578448779,0.08110858662660796,0.1751330460993847
