,AD,DLB,PD,SVAD
1002,0.0118652499209316,0.0143549852855018,0.0135669234593265,0.0151927093099611
1003,0.0106582003138041,0.0122134662267342,0.01329496367727,0.0130432556721792
1005,0.0090268161720991,0.0110347483092144,0.011581370727401,0.0086396525191182
1006,0.0319807098576738,0.0268297271375421,0.0239423547018901,0.0284067252661614
1007,0.0250150997408621,0.0230761630150463,0.0245397243281664,0.0256267232751764
1008,0.0224527736419344,0.0178765381907573,0.0166137145997891,0.016819529522188
1009,0.02666406765159,0.0196210523051215,0.0176806488086696,0.0191900368849019
1010,0.0234461899036565,0.0203660407025494,0.0185314447986563,0.0209760764372823
1011,0.0182629015145496,0.0174443105340185,0.0195732744087131,0.0196806604281742
1012,0.0186426853456244,0.0209642752331543,0.0216499267964447,0.0225710178006585
1013,0.0134567409278917,0.0128542774848565,0.0144208936420577,0.0145001067020611
1014,0.0184654935445381,0.0207650946288217,0.019435478752311,0.0219794520731516
1015,0.0271109710495281,0.0199496162929964,0.0179766069214238,0.0195113453274548
1016,0.016522500800701,0.0138664099247969,0.0123776682118698,0.0146799026357044
1017,0.0112148619482134,0.0137132856685168,0.014393399326669,0.0107330457918496
1018,0.0143926953012174,0.0164965326566891,0.0179593857994163,0.0176186604238015
1019,0.0127895291269622,0.0151153841474538,0.0152103751775297,0.016059715378639
1020,0.0112685714334801,0.0129134967734369,0.0140573236150301,0.0137910666460747
1021,0.0107172946547234,0.0130760596229281,0.0134513539677323,0.0109554965300227
1022,0.0109597437773788,0.0134009776543319,0.0140655266500614,0.0104889636472158
1023,0.0158693120908298,0.0151425555845294,0.0140344651181636,0.0155202584038902
1024,0.0092027420823447,0.0110906642334172,0.0117328403655454,0.0093618438545472
1025,0.0182149393286332,0.0185540378803224,0.0186396682405584,0.0156172038941283
1026,0.0138739475062646,0.0167876660418529,0.0158654163329093,0.0177678947269234
1027,0.0158570394392188,0.0181759790940763,0.0197883669898626,0.0194127367385509
1028,0.0138810195549064,0.0159096955627749,0.0173202980661957,0.0169917691703667
1029,0.0109508628886873,0.0133901057572071,0.0140541129369682,0.0104804666802037
1030,0.0236194181195495,0.0200551362310953,0.0182130261871887,0.0205553473795512
1031,0.0190640868970452,0.0167545542304589,0.0161141560907754,0.0150490800142475
1034,0.0106487236811419,0.0106454899520588,0.0103580305871886,0.0097679858459576
1035,0.0212891433607638,0.0221525100526152,0.0206881277252249,0.0229964483902861
2002,0.0106372138440409,0.0128677431270505,0.0121617182664141,0.0136183454146257
2003,0.011768811369604,0.0138373774945409,0.0148460147839078,0.0131875932935981
2005,0.0110487134842577,0.0116967164554018,0.0127439398913394,0.0113903219405551
2006,0.0161719198192588,0.0135724110586869,0.0121153892200658,0.0143685880880319
2007,0.0311992480387618,0.0285244528164062,0.0298958156923032,0.0315459534421377
2008,0.0209172418496302,0.0172619189018174,0.0162520383015494,0.0159656299677084
2009,0.0254902132596742,0.0202537841398398,0.0189157302628327,0.0207897213857201
2010,0.0203438167493153,0.0178426532636098,0.0162806900464106,0.0183362700939786
2011,0.0172499490903765,0.0164769094505091,0.0184873522208089,0.0185888004180394
2012,0.0147947120880776,0.0174230396018127,0.0177019353414386,0.0185234316917958
2013,0.0178363816372424,0.0170369707829141,0.0191160296332481,0.0192209154473116
2014,0.0147861834019208,0.0170602548620082,0.016024169074882,0.0180570475112154
2015,0.0243683591258314,0.0179332440903366,0.0161603344929527,0.0175394993531071
2016,0.0185184183825527,0.0155401946989218,0.0138708660918401,0.0164522689116591
2017,0.0115204234775438,0.0140873442704799,0.0147860999768882,0.0110253889106037
2018,0.0144884853358467,0.0160984561819977,0.0169916939127733,0.0173747274332909
2019,0.0105665787737658,0.0124984517166072,0.0124035252008745,0.0132829705906483
2020,0.011707518907302,0.0134169224068727,0.014605573179406,0.0143288531514878
2021,0.0106808431492538,0.0130595564173521,0.0137070899550112,0.010222128040592
2022,0.0116308342053386,0.0142225055153435,0.0149279973470791,0.0111310233137537
2023,0.0158624423195299,0.013738194730294,0.012612503219708,0.0138596583674835
2024,0.0118238812377593,0.0144291387250673,0.0148566259324088,0.0120531999244042
2025,0.017054385821263,0.0177066853130655,0.0178786023871092,0.0147856681476413
2026,0.0084462634293169,0.0102143404029515,0.0096546784838481,0.0108095083015765
2027,0.0147959479770529,0.0169590205335237,0.018463052810745,0.0181127152793164
2028,0.0133147769834611,0.015260275718575,0.0166130550873465,0.0162980234957141
2029,0.0125081422645746,0.0152964785923949,0.0160554944608439,0.0119703796553032
2030,0.0201660173803979,0.0168626220053514,0.0160894229296933,0.0178165666604821
2031,0.014626843433759,0.015557633153934,0.015779591964943,0.0145691775694441
2034,0.0115627745911615,0.0110454808868406,0.0123904924301511,0.0124586031979906
2035,0.0167283269953808,0.0176283862706138,0.0164816103901657,0.018331843630351
