,AD,DLB,PD,SVAD
ctx_rh_caudalanteriorcingulate,0.010637213844040958,0.012867743127050543,0.012161718266414172,0.013618345414625763
ctx_rh_caudalmiddlefrontal,0.011768811369604046,0.013837377494540927,0.01484601478390785,0.013187593293598185
ctx_rh_cuneus,0.01104871348425778,0.01169671645540182,0.012743939891339451,0.011390321940555156
ctx_rh_entorhinal,0.016171919819258803,0.013572411058686944,0.012115389220065872,0.01436858808803191
ctx_rh_fusiform,0.031199248038761847,0.028524452816406243,0.029895815692303294,0.0315459534421377
ctx_rh_inferiorparietal,0.02091724184963027,0.017261918901817455,0.01625203830154946,0.01596562996770846
ctx_rh_inferiortemporal,0.025490213259674217,0.020253784139839852,0.018915730262832713,0.02078972138572017
ctx_rh_isthmuscingulate,0.02034381674931536,0.01784265326360981,0.0162806900464106,0.01833627009397867
ctx_rh_lateraloccipital,0.017249949090376537,0.016476909450509124,0.01848735222080892,0.01858880041803943
ctx_rh_lateralorbitofrontal,0.014794712088077646,0.01742303960181271,0.01770193534143864,0.01852343169179581
ctx_rh_lingual,0.017836381637242445,0.017036970782914163,0.019116029633248138,0.019220915447311606
ctx_rh_medialorbitofrontal,0.01478618340192086,0.01706025486200829,0.01602416907488204,0.018057047511215455
ctx_rh_middletemporal,0.02436835912583147,0.017933244090336673,0.01616033449295278,0.017539499353107158
ctx_rh_parahippocampal,0.018518418382552748,0.015540194698921865,0.013870866091840149,0.01645226891165913
ctx_rh_paracentral,0.011520423477543845,0.014087344270479906,0.014786099976888277,0.01102538891060376
ctx_rh_parsopercularis,0.014488485335846794,0.016098456181997723,0.016991693912773352,0.017374727433290917
ctx_rh_parsorbitalis,0.01056657877376585,0.012498451716607255,0.012403525200874546,0.013282970590648325
ctx_rh_parstriangularis,0.011707518907302034,0.013416922406872749,0.014605573179406032,0.014328853151487861
ctx_rh_pericalcarine,0.010680843149253811,0.01305955641735217,0.013707089955011222,0.010222128040592074
ctx_rh_postcentral,0.011630834205338642,0.014222505515343589,0.014927997347079155,0.011131023313753778
ctx_rh_posteriorcingulate,0.01586244231952998,0.013738194730294051,0.012612503219708027,0.013859658367483596
ctx_rh_precentral,0.011823881237759326,0.014429138725067372,0.01485662593240886,0.012053199924404283
ctx_rh_precuneus,0.017054385821263094,0.017706685313065545,0.017878602387109255,0.014785668147641396
ctx_rh_rostralanteriorcingulate,0.00844626342931691,0.010214340402951567,0.009654678483848161,0.010809508301576502
ctx_rh_rostralmiddlefrontal,0.014795947977052951,0.016959020533523796,0.01846305281074507,0.018112715279316485
ctx_rh_superiorfrontal,0.013314776983461105,0.01526027571857509,0.01661305508734658,0.01629802349571412
ctx_rh_superiorparietal,0.012508142264574659,0.015296478592394991,0.01605549446084398,0.011970379655303252
ctx_rh_superiortemporal,0.02016601738039799,0.01686262200535142,0.01608942292969332,0.017816566660482158
ctx_rh_supramarginal,0.014626843433759026,0.015557633153934006,0.015779591964943,0.014569177569444161
ctx_rh_transversetemporal,0.011562774591161574,0.011045480886840639,0.012390492430151107,0.01245860319799065
ctx_rh_insula,0.016728326995380828,0.01762838627061388,0.01648161039016579,0.018331843630351008
