DX,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
AD,0.1403924960387065,0.16057195915052958,0.22692016164914544,0.16572521654814154,0.15830473191935776,0.14808543469411922
DLB,0.13407920328142267,0.13465630216836164,0.16683202868603628,0.20287559713238834,0.1917186970015112,0.1698381717302798
PD,0.1505059130735944,0.1201280428598497,0.15027603243596363,0.21298638001720188,0.18114339946523458,0.18496023214815577
SVAD,0.15132887507048026,0.14258720468592934,0.16314798960936422,0.15855610419169844,0.2029494430791544,0.1814303833633733
