,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9
A,0.08394599153040969,0.009278258811117233,0.4905136972213064,-0.2397133495134473,0.14998491891605467,-0.10128433584768531,0.5862061016171061,-0.7042154719373763,0.11307810273204387,0.09005978569005241
AD,-0.27921241349360554,0.012528251128870946,1.2949823935381,0.31426626144899206,0.20969046953895104,-0.2877252291805092,-0.17481195882045947,-0.018401902677494496,-1.2224728335584938,-0.04786718990423199
B,0.6205717944755168,0.2934316884619402,-0.5355877950579064,-0.5270106924769348,-0.03705679813201836,-0.3383270341260499,0.7466133408385675,0.10905491481698332,-0.23138442974345083,0.0009821310754830862
C,-0.05944842178950306,-0.27784473029205187,0.1661199602771105,0.166188313856472,-0.5207514699186931,-0.3139849547969236,-0.43440614243105197,1.3379211479696496,-0.006922569794103851,-0.8952300696435274
CBD,-0.048881340274954964,0.2951417677666691,0.1734173308168807,0.22266531604262774,-0.10770587672300155,0.13311945586130197,0.20815485879861564,-1.1192116672328298,-0.02910372706522054,1.1548316947395338
PSP,0.4790109407888812,0.3805343323983629,-0.5630773947110888,-0.1459583518704229,0.007848487976359784,0.8453841083455925,-0.48703354467927196,-0.4433602217348664,0.13468693128594939,0.24255937031970212
Pick's,-0.2088228872696716,-0.7879402257915102,-1.0331292419402285,-0.5899941874728487,1.1801415061345235,-0.18998592402689393,-0.8444751746428495,0.8086968909219147,0.401945550742942,-0.07803722154415037
U,-0.5871636639670719,0.07487065751660021,0.0067610498558250565,0.7995566899855615,-0.8821512377921757,0.2528039137711657,0.3997525193193451,0.029516309874018938,0.8401729754003333,-0.46729850073286217
