,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9
1002,0.00011156116364151955,9.006502511793429e-05,7.63126932622198e-05,7.796084639533089e-05,5.302083509746091e-05,9.592342942601464e-05,8.890466210766756e-05,6.605706146183793e-05,0.06386332112896291,0.1303870709994686
1003,0.00011156056500877589,9.006550356114305e-05,7.631415190767822e-05,7.79597179931471e-05,5.301970408055618e-05,9.592382638819549e-05,8.890452710999073e-05,6.605508567640327e-05,7.121284323494715e-05,0.1434801235938003
1005,0.00011155904784428974,0.0701341462060226,0.03775290426247649,7.79586629990056e-05,5.301894680962026e-05,9.592293596607782e-05,8.890184545431109e-05,6.605475921872745e-05,7.12116876312693e-05,7.74259141828736e-05
1006,0.00011156411285204251,9.006734533543067e-05,7.631388459102342e-05,7.795833366376316e-05,5.301846975034736e-05,9.592356431109576e-05,8.890435658908088e-05,0.17144111400146403,0.04418812238629196,7.742751292732869e-05
1007,0.10069692311380582,0.05561766978258564,7.631280506366849e-05,7.796039143450367e-05,5.301967295103108e-05,9.592328994303963e-05,8.890295401891662e-05,6.605773925039406e-05,7.121238375132744e-05,7.742627557410072e-05
1008,0.00011156116590706918,9.006454589307625e-05,0.09409330658690575,7.795860251072416e-05,5.3017782261769796e-05,9.59211654438342e-05,8.890195585343454e-05,6.60532508784186e-05,7.121151311499921e-05,7.742602867566987e-05
1009,0.20310073215090255,9.006497922088351e-05,7.631178815869332e-05,7.795956392976122e-05,5.3019082858945117e-05,9.592229556500981e-05,8.890216972453621e-05,6.605791513642827e-05,7.121222078624761e-05,7.742580556132764e-05
1010,0.00011156147480036527,9.006674452072722e-05,0.12237506837330715,7.796120314470532e-05,5.3021573545982835e-05,9.592362704462503e-05,0.017430584697106344,6.605771433699493e-05,7.121504164166657e-05,7.742753738111753e-05
1011,0.00011156489651570342,0.04871931099746481,0.04188182986312368,7.796077497847752e-05,5.301884015761565e-05,9.59223624701832e-05,8.89016936019153e-05,6.605744821753387e-05,7.12118319409574e-05,7.742535612435281e-05
1012,0.00011156079234336446,9.006387770658114e-05,7.63124090595126e-05,7.796003579458277e-05,5.3020983354245224e-05,9.592234225879348e-05,8.890469213319444e-05,6.605538488706875e-05,0.1691497379781541,7.742753117990689e-05
1013,0.00011156047069772955,0.1255168130247937,7.631355006534584e-05,7.795911986154283e-05,5.301949905093573e-05,9.592322694287805e-05,8.890271893716644e-05,6.60560342023301e-05,7.12121113920988e-05,7.74255233742307e-05
1014,0.0001115597016463927,9.006240110726553e-05,7.631063502326883e-05,7.795927221591762e-05,0.028742278842923224,9.592095348316133e-05,8.890355207423018e-05,6.605605152115193e-05,0.15303855617949388,7.7426595580322e-05
1015,0.21893040983882875,9.006483198706839e-05,7.631381319403811e-05,7.796042101022167e-05,5.301972595232801e-05,9.592246348523998e-05,8.89035638670994e-05,6.605600449404307e-05,7.121274587302881e-05,7.742716586276397e-05
1016,0.00011156302688905663,0.08653565966125186,7.631348085830317e-05,7.79596269566847e-05,5.301983874128572e-05,9.592386809701454e-05,8.890421672440116e-05,0.06480140778828344,7.121385990212083e-05,7.74267605886953e-05
1017,0.00011155913053658635,9.006393561000488e-05,7.631243576653451e-05,7.795816182707267e-05,5.301851826852075e-05,0.1632245237544564,8.890170302694832e-05,6.605520252435078e-05,7.121164017596114e-05,7.742657529999976e-05
1018,0.00011156295474807591,9.006577173770086e-05,7.631447643473363e-05,7.796026954744395e-05,5.3020112980685155e-05,9.592431593495619e-05,0.13367275255641187,6.605645648150257e-05,0.01807293107079852,0.06400855823098602
1019,0.00011156011201268854,9.006504222582548e-05,7.631279644729467e-05,7.795916100607202e-05,5.30204789005121e-05,9.592291703111288e-05,0.1414786651418162,6.605520250504098e-05,0.08116968485168849,7.742783278059988e-05
1020,0.00011156103136124151,9.006518761293121e-05,7.631369140519528e-05,7.795939247826652e-05,5.30201489006966e-05,9.592345710639306e-05,0.14128343831587073,6.60551942033701e-05,0.021859344966105344,0.052799032744801314
1021,0.00011155841663458505,0.09997071377202502,7.631124009405624e-05,7.795666036568619e-05,5.3018634014205204e-05,9.59212512960368e-05,8.890303663499083e-05,6.605409954694847e-05,7.121244136375218e-05,7.742607334440195e-05
1022,0.00011156262067214432,9.006667774244704e-05,0.04874180046291275,7.796061790057201e-05,5.301997295138675e-05,0.10577597590225368,8.89047075667289e-05,6.605683919416502e-05,7.121355181712454e-05,7.742722476926096e-05
1023,0.00011156178576962281,9.006387171221193e-05,0.04608881774456887,7.796125175243733e-05,5.302115028472019e-05,0.04408043916786795,8.89039967758508e-05,6.605669555292533e-05,7.121446766064178e-05,0.08326967644576116
1024,0.00011156119803810815,9.006591500223133e-05,7.631392785440106e-05,7.795953364210201e-05,5.301960786627528e-05,0.13892245289276878,0.0520944809670306,6.605542188441713e-05,7.121316688774688e-05,7.742819094902672e-05
1025,0.00011155941826101043,9.006458927607239e-05,0.1122886520555439,7.795944237609602e-05,5.3019809314269405e-05,9.592324708512955e-05,8.890337777282901e-05,6.605512798013459e-05,7.121308846181232e-05,7.742758165194154e-05
1026,0.00011156049464151286,9.006431534767706e-05,7.631220606314857e-05,7.796046026496632e-05,0.02864092071009055,9.592247399759848e-05,8.890432780106877e-05,6.605664868730916e-05,0.16037178050785175,7.742769333901972e-05
1027,0.00011155946520310666,9.006412749222497e-05,7.631337891058336e-05,7.79597237989196e-05,5.302048892520464e-05,9.59219618485227e-05,8.890544280930725e-05,6.605370850695439e-05,0.0464720799107354,0.11475128152251075
1028,0.0001115610483554537,9.006396980360497e-05,7.631280490843528e-05,7.795997458545497e-05,5.302076216281853e-05,9.592382842738506e-05,8.890474769092534e-05,6.605602239924506e-05,0.040514876400245946,0.11916526793006604
1029,0.00011156065613333658,9.006501337537558e-05,0.07727459969445753,7.795915054633197e-05,5.301823913920281e-05,9.592423103478562e-05,8.890270468333067e-05,6.605577159129893e-05,7.121187654265162e-05,7.74274543893485e-05
1030,0.21741471477258026,9.006401850986791e-05,7.631262009953937e-05,7.796029589007091e-05,5.302021370526552e-05,9.592254769225802e-05,8.890416484757271e-05,6.605680974612952e-05,7.121373788419878e-05,7.74276790376243e-05
1031,0.00011156311333005374,9.006378720902572e-05,0.097690824938721,7.796037997676851e-05,5.301999523396922e-05,9.59230182716297e-05,8.890544198244655e-05,6.605450437926122e-05,0.010674926523040328,7.74293175741783e-05
1034,0.13026906484283501,9.006504998471324e-05,0.04069152633995457,7.796175851205488e-05,5.302029928179416e-05,9.592357378161373e-05,0.04171172042038964,6.605559574600764e-05,7.121300082149799e-05,7.742696887840467e-05
1035,0.12334075076773456,9.006438801803392e-05,7.631210320902818e-05,7.796000358486153e-05,5.3020841234851416e-05,9.592342294301492e-05,0.10368264749654853,6.605744153544894e-05,0.061027384114824945,7.742806766186188e-05
2002,0.0001115618719483376,9.006446014189126e-05,7.631192566400914e-05,7.796090325828279e-05,0.07022506311419058,9.592352904903238e-05,8.890441683275291e-05,6.605799807076207e-05,7.121422988345353e-05,0.09557608143774772
2003,0.00011156004045722487,9.006571013073137e-05,7.631338822830507e-05,7.796123635949877e-05,0.03443692862765828,0.028898306994103284,8.890506517660579e-05,6.605707056415453e-05,7.121237948242406e-05,0.08518681312910223
