DX,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
A,0.1428937776063206,0.1032673276956022,0.17471657428325132,0.11914902088241763,0.23580779958472048,0.2241654999476877
AD,0.07719479163053422,0.1573802097987228,0.28350068831641545,0.1884998776079245,0.1290781368437609,0.16434629580264215
B,0.17770720543591423,0.16105786985835407,0.13122042788628227,0.1422149528436835,0.20568392745365244,0.18211561652211347
C,0.10037622814336045,0.41510926181437274,0.12650308954129877,0.13552546973661847,0.13590885269675526,0.08657709806759428
CBD,0.1358942461281323,0.08337887900125845,0.16094301226046884,0.11673320340541801,0.21758144343591185,0.28546921576881057
PSP,0.12406332615821672,0.15892938246789995,0.15833847209491697,0.2032560279374407,0.14945370062845667,0.205959090713069
Pick's,0.11675581307509382,0.2185459191706542,0.08004336721135966,0.0603323979351237,0.3539336807633785,0.17038882184439022
U,0.13609842419542867,0.15074677250168764,0.18423586036984446,0.15895362938727836,0.1926852310770241,0.17728008246873678
