,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
1021,6.48249110436319e-05,4.534092165145446e-05,4.611777075489678e-05,0.0659521782648914,3.501852804221457e-05,4.196186817747399e-05
1022,6.48256842166974e-05,4.534314665816704e-05,0.030405876150568088,0.039634277420306736,3.5019195980770456e-05,0.017460383620750718
1023,6.482684318841443e-05,4.5342961062611174e-05,0.04507302749649791,5.941698149665769e-05,3.50196047012942e-05,0.04870326974704731
1024,6.482528888660453e-05,4.5342778073110526e-05,4.611979671998093e-05,0.04833482727110783,3.5018975677941443e-05,0.05122620179044567
1025,6.482618507155012e-05,4.5341589558350745e-05,0.06786128626050039,5.941837398837252e-05,3.501917881961089e-05,4.196361907350398e-05
1026,0.06645722036424634,4.5342173115082715e-05,4.6118591927726535e-05,5.94160865485467e-05,0.061878780420368644,4.196285134864188e-05
1027,0.04373393751114685,4.5340985673824194e-05,4.6119563187912155e-05,5.941609845542349e-05,3.50199156738388e-05,0.06126462045851528
1028,0.035039448084234766,4.534210106390492e-05,4.611926004535046e-05,5.9416241135496704e-05,3.5019860141547924e-05,0.06577472975743696
1029,6.482582472964377e-05,4.534158938287987e-05,0.04670067233170517,5.941845815612581e-05,3.5017921164248247e-05,4.196333322945489e-05
1030,0.056953276213277025,0.028863012875985344,0.02009522815448186,5.9417097683998596e-05,3.501851847604935e-05,4.19624095326294e-05
1031,0.021662412529909983,4.534072269608455e-05,0.05054074752351695,5.941633885577307e-05,3.501859759126612e-05,4.1962837563157e-05
1034,0.05252554839709656,4.5344024771826116e-05,0.06266797897157772,5.9417462020714354e-05,3.5019422012075246e-05,4.1962710298386856e-05
1035,0.09791672487372229,0.017657524545459775,4.6119524003880485e-05,5.9417378578221964e-05,0.013613680117889318,0.03529626448840952
2002,0.0124552541170472,4.534383232629234e-05,4.611931912124393e-05,5.9416973382531575e-05,0.05003042238168041,0.03940706299436178
2003,6.482339226690247e-05,4.534448606489792e-05,4.612010693656195e-05,5.94187202556399e-05,0.016255828103917135,0.06654409844720707
2005,6.482274585763769e-05,4.534246750578587e-05,0.01521683580377988,0.05403552332346051,3.501910228345502e-05,4.1962590833446684e-05
2006,6.482532153415377e-05,0.16218962549175117,4.6118603903028734e-05,5.941733073880568e-05,3.501970201266752e-05,4.1962721932622694e-05
2007,6.482364066304878e-05,0.06264690405150071,4.611953583683035e-05,0.044000717431599674,3.501931461456199e-05,4.196248445198446e-05
2008,6.482218328337072e-05,0.012433037250270697,0.0642971289074568,5.941705627041412e-05,3.501991329557533e-05,4.1962772009008515e-05
2009,6.482481621672279e-05,0.11126818268267538,4.6120547386897344e-05,5.9417954138932757e-05,3.50199710036673e-05,4.196329299782424e-05
2010,6.482373124922187e-05,4.534376368628321e-05,0.06043054864142296,0.012887464713635074,0.010529051421347331,4.196237875202934e-05
2011,6.482448772633679e-05,0.006168201779842666,0.020232214816661296,0.05084418342867736,3.501939094975194e-05,4.1962692726527916e-05
2012,6.482610615150204e-05,4.534483954620087e-05,4.611941917626399e-05,5.941743826320209e-05,0.0867845135712743,4.196234532750197e-05
2013,6.482300431572092e-05,4.5343461484506367e-05,4.611994687183489e-05,0.08235049599250556,3.501909467845566e-05,4.1961854683590964e-05
2014,0.014490785603397723,0.013245174367375623,4.611839002127595e-05,5.941655879626057e-05,0.08327242127032802,4.196218096508379e-05
2015,6.482423457453879e-05,0.09210107754690337,0.029969458493676108,5.941662413919087e-05,3.5020291599289366e-05,4.196318397916755e-05
2016,6.482345536218439e-05,0.0704914800388705,4.611917638199172e-05,0.039178300580120964,3.501914002444043e-05,4.19619861867641e-05
2017,6.482293851305884e-05,0.004233396269947458,4.6120041054298245e-05,0.04736073884808404,3.501907955672907e-05,0.028975222193319706
2018,6.48242133590715e-05,0.0047148529154494604,4.6120047294025825e-05,5.94183258942906e-05,0.05357822543573967,0.033979827765082814
2019,6.482316382981019e-05,4.534136655208006e-05,4.611870797143114e-05,5.941572401577984e-05,0.09211620838465467,4.196306785619819e-05
2020,6.48235533547285e-05,4.534241497808515e-05,4.611964286261691e-05,5.941756146058675e-05,0.06494690111032357,0.02166276927681215
2021,6.482212750186764e-05,4.533991242771383e-05,4.611802459695118e-05,0.05377034282774701,3.501767731049859e-05,4.196102061260087e-05
2022,6.482349303047949e-05,0.013661303779161065,0.021755271275665993,0.03789539589075291,3.501983075886099e-05,0.01852151925696667
2023,6.482395434326804e-05,4.534462015256718e-05,0.050512099734482445,5.9417458678477135e-05,0.015884861956044393,0.027531005246984097
2024,6.482338069496341e-05,0.0064080555323518616,4.611952485645998e-05,0.047436213154276805,0.007893935919725837,0.043286595245505655
2025,6.482232148610081e-05,4.53429895897174e-05,0.06623915002131059,5.941856546773094e-05,3.501916786398676e-05,4.196230923274831e-05
2026,0.020463672173605802,4.534351199421087e-05,4.611893671159266e-05,5.94170514697442e-05,0.08423731008143483,4.196256151985116e-05
2027,6.482382673118855e-05,4.5341195239834965e-05,4.6119943026201544e-05,5.9416051097375214e-05,0.052017891774770515,0.024337424081496875
2028,6.482482789783586e-05,4.53432755971358e-05,4.61197120693995e-05,5.94172771655794e-05,0.04435190016708501,0.03629582603185837
2029,6.482216735986561e-05,4.5344110527513863e-05,0.04747086778619889,0.014417325986751809,3.501899834737009e-05,4.19628349955157e-05
2030,6.482488886915424e-05,0.09379415429123103,4.612061802872942e-05,5.941754569901812e-05,0.01616618711536957,4.196321021809847e-05
2031,6.482252609323444e-05,0.010015538285831039,0.05674712132676029,5.941659167228604e-05,0.008193191655900146,4.196277579226246e-05
2034,6.482337456232884e-05,0.03305066450715208,0.055430267517610404,5.9417552617296606e-05,0.02087909937947583,4.196296589316202e-05
2035,6.482527710670278e-05,0.0530707163077479,4.6119566535734575e-05,5.941720909453793e-05,0.06176709064497155,0.0208543967613188
